food,area_ratio,aspect_ratio,solidity,eccentricity,equiv_diameter,thickness,volume_proxy,roundness,compactness,elongation,fill_ratio,weight,log_weight
apple,0.7767767136974424,0.9687499962158204,0.9900624359882343,0.23488674773015603,250.58148652316532,0.7767767136974424,48774.64985020301,0.8674119917621925,14.487199546962149,1.028782507053038,0.9900624359882343,150.0,5.017279836814924
apple,0.7857688729268711,0.8636363603650138,0.9889390707776327,0.5279865834691838,245.3984734005878,0.7857688729268711,47319.324280129804,0.8530149744881353,14.731711622783747,1.17750580277768,0.9889390707776327,150.0,5.017279836814924
apple,0.7917946748465214,0.9841269802217183,0.9893238433965907,0.19881901870641952,251.00793937976303,0.7917946748465214,49887.012111941694,0.8687488296553129,14.464906524332854,1.0203704442923476,0.9893238433965907,150.0,5.017279836814924
apple,0.8070228494488068,1.0333333290277777,0.9907185875548487,0.20588981162841427,247.30302928150476,0.8070228494488068,49356.53959609186,0.8781691934628235,14.309737471576724,1.021893887171635,0.9907185875548487,150.0,5.017279836814924
apple,0.7618796525936433,1.0483870925468262,0.9910829567262935,0.25890884104279044,250.0983124186559,0.7618796525936433,47654.93676660783,0.8741496655043672,14.37553671868653,1.0353019698729304,0.9910829567262935,150.0,5.017279836814924
apple,0.7714007138952373,1.016393438457404,0.9913772963578342,0.1712722123246714,243.78996843326564,0.7714007138952373,45847.08190321288,0.8797297208316207,14.284353837894612,1.014997862297734,0.9913772963578342,150.0,5.017279836814924
apple,0.7512057386942734,1.0317460276518016,0.9908402785966333,0.2519947906680601,250.33492994849914,0.7512057386942734,47076.2435868889,0.8737850229682643,14.381535828341283,1.0333475784801864,0.9908402785966333,150.0,5.017279836814924
apple,0.7674527646435216,0.9672131107901102,0.9892773996913217,0.29147642701633053,237.20934888929028,0.7674527646435216,43183.24336433168,0.8660669262909328,14.509699230604118,1.045393040031139,0.9892773996913217,140.0,4.948759890378168
apple,0.7385101009984453,0.9090909056473829,0.9584792805883267,0.34254964578508806,244.08487207782406,0.7385101009984453,43998.529989472496,0.7449047563876594,16.869768257372986,1.0643962582124313,0.9584792805883267,140.0,4.948759890378168
apple,0.7563101743306611,0.9682539644116906,0.994397639289347,0.21716192903545437,243.33255390178275,0.7563101743306611,44781.678881103595,0.8619553435087983,14.578911435151568,1.0244478355893896,0.994397639289347,140.0,4.948759890378168
apple,0.7766219783138264,0.9672131107901102,0.9898406374282904,0.2665562945422073,238.62218186937528,0.7766219783138264,44221.27923234901,0.8687711971712688,14.464534108606532,1.037538823473126,0.9898406374282904,140.0,4.948759890378168
apple,0.7249846813614432,0.882352937932526,0.9781539351649687,0.44307987837991497,245.47628792549605,0.7249846813614432,43686.56767208388,0.8251905504965709,15.228447061729213,1.1154711898835679,0.9781539351649687,140.0,4.948759890378168
apple,0.775332728357998,1.0175438551862113,0.9894330518458521,0.2677306150244933,228.51280097333387,0.775332728357998,40486.40210446604,0.8662874927845109,14.506004898719608,1.03788938484978,0.9894330518458521,120.0,4.795790545596741
apple,0.7723214285554663,1.0370370322359397,0.9890162242016511,0.299904811117028,218.124770046099,0.7723214285554663,36745.829678819995,0.8696436253203444,14.450023260241377,1.0482519423955612,0.9890162242016511,120.0,4.795790545596741
apple,0.6834615384495898,1.181818176446281,0.9143939748113769,0.3462427159525529,223.1054162540131,0.6834615384495898,34019.99982858003,0.6624620109945739,18.969194316749608,1.065933335620265,0.9143939748113769,120.0,4.795790545596741
apple,0.7824494949330293,1.018518513803155,0.9891460494549309,0.2377064387495089,217.58123253705227,0.7824494949330293,37042.405338395794,0.868992081918906,14.460857441012358,1.029508761836853,0.9891460494549309,120.0,4.795790545596741
apple,0.762888581087202,0.9999999956140351,0.9893476362482388,0.20650824640980464,224.70899818455666,0.762888581087202,38521.398137578784,0.8672772379082745,14.489450506424436,1.0220299950766176,0.9893476362482388,120.0,4.795790545596741
apple,0.770684656542323,1.0350877147583872,0.9896427463191265,0.2603048489587616,229.78244206340585,0.770684656542323,40692.12726944025,0.8697773791193031,14.447801145115202,1.0357043697913741,0.9896427463191265,120.0,4.795790545596741
apple,0.7615868506338964,1.018181813553719,0.9882560496882783,0.2277211408635426,218.59998479747293,0.7615868506338964,36393.15371899637,0.8642401724756777,14.540368538995416,1.0269825342529866,0.9882560496882783,120.0,4.795790545596741
apple,0.6847587719187829,0.8382352910358997,0.9539491418601413,0.36365141613766827,232.52825743707672,0.6847587719187829,37024.48944178103,0.7382204895508039,17.022516703230927,1.0734968469544985,0.9539491418601413,120.0,4.795790545596741
banana,0.4043058755711849,0.7380952358985261,0.6788916876437503,0.9022200066514573,207.1121441686306,0.4043058755711849,17342.87853319097,0.4137595793919465,30.371189550320985,2.3187003256839844,0.6788916876437503,65.0,4.189654742026425
banana,0.4956408387461365,0.5384615369822485,0.6767396463163756,0.9025993621261009,212.1862944239804,0.4956408387461365,22315.24915093668,0.39820884154265923,31.557236562881116,2.3229797468017037,0.6767396463163756,65.0,4.189654742026425
banana,0.4268409846226262,0.6987951786180868,0.6753004005201746,0.9033715747881611,204.5978898040201,0.4268409846226262,17867.690179887268,0.4097057264763675,30.671698738605098,2.331770248322031,0.6753004005201746,65.0,4.189654742026425
banana,0.511522894760911,1.913978484333449,0.6943339756325215,0.9003359834752801,207.66775536833998,0.511522894760911,22059.883478081363,0.4262167920442542,29.483518360934998,2.297817901345077,0.6943339756325215,65.0,4.189654742026425
banana,0.40620892018302573,0.9466666635111112,0.6748366968767703,0.8979365016195395,209.91795398140496,0.40620892018302573,17899.818428146853,0.4106340470533854,30.60235921535871,2.272081643426809,0.6748366968767703,65.0,4.189654742026425
banana,0.41248774509298425,1.1029411724156575,0.6934852480490051,0.902002786504182,207.01683466868303,0.41248774509298425,17677.562361523935,0.4231586639102516,29.69659299387163,2.3162613441954747,0.6934852480490051,65.0,4.189654742026425
banana,0.4118346488512974,0.7530864174287456,0.6731588305695497,0.902584092130994,203.60288086735764,0.4118346488512974,17072.24834763868,0.4115882786892977,30.53141030638227,2.322806996146281,0.6731588305695497,65.0,4.189654742026425
banana,0.4145544748942117,1.4871794808240193,0.6661798950020488,0.9034602733735158,207.32105669991563,0.4145544748942117,17818.388959482345,0.40788634581227157,30.808510122960758,2.3327868381598837,0.6661798950020488,65.0,4.189654742026425
