food,a,b
apple,1.0529175134000348,-6.323321210545146
banana,0.9483687595881328,1.988572882057639
brinjal,0.6125147216441292,19.706749593777594
capsicum,1.047142956571122,-4.044107273427471
carrot,1.013445051171234,-0.11512768025990283
cucumber,1.0234221736426807,-0.6588753776955798
guava,0.9676539159004931,4.572485911312356
onion,1.0228096141137886,-1.6606803333219347
orange,1.0155628502864866,-0.6680919211840006
pomegranate,0.9325138901727272,11.475696688959658
potato,1.0144465742630775,0.6189358264902864
tomato,0.9970152004972628,-0.10435116205242423
