food,MAE,RMSE,R2,MAPE (%)
apple,1.3208107337027981,1.6849397281678824,0.9879601689585218,0.9344835542647854
banana,7.654372771019274,18.258544665206735,0.8512222075166427,6.60320318810035
brinjal,4.943770522564622,14.673364241891944,0.07611133403649106,7.888414107450885
capsicum,6.976441497310202,9.872682549456725,0.9551023434033179,5.825791994560935
carrot,3.411126472710993,5.558564080625002,0.9686454852900984,3.657484935713281
cucumber,5.061637373570178,8.601669616864461,0.9816682396812645,3.153945563129605
guava,5.450524270364044,12.349889517164332,0.895231948331388,3.5401903420038847
onion,2.307014801477974,2.921916437509664,0.9899741359285207,2.2633226705751723
orange,6.513608565261916,9.27216084668515,0.959532901750029,5.278331336083062
pomegranate,6.772190454248005,14.02988540969963,0.9118771443960181,3.0826669969674922
potato,3.8510461247720222,5.575320627469523,0.9833609189861054,4.76244131934964
tomato,2.606713529123804,3.5196110253233037,0.9856400629218495,3.474155125608163
