food,kcal_per_100g
apple,62
banana,98
grape,80
guava,68
mango,78
orange,52
pineapple,60
pomegranate,83
watermelon,24
almond,626
bread,254
cashew,565
cucumber,16
dates,277
egg,143
onion,44
potato,361
carrot,48
corn,85
tomato,22
strawberry,36
brinjal,25
capsicum,23

